"provider","usages","defined_in","defined_line","defined_type","is_family"
"intelligenceStateProvider","25","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\plant_intelligence\presentation\providers\intelligence_state_providers.dart","21","NotifierProvider","True"
"plantEvolutionHistoryProvider","19","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\plant_intelligence\presentation\providers\plant_evolution_providers.dart","25","FutureProvider","False"
"soilTempProvider","14","","","","False"
"gardenBedProvider","13","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\garden_bed\providers\garden_bed_provider.dart","311","NotifierProvider","False"
"latestEvolutionProvider","10","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\plant_intelligence\presentation\providers\plant_evolution_providers.dart","77","FutureProvider","False"
"soilPHProvider","7","","","","False"
"weatherAlertsProvider","6","","","","False"
"communeSearchProvider","5","","","","False"
"thermalThemeProvider","5","","","","False"
"gardenTotalAreaProvider","3","","","","False"
"filteredEvolutionHistoryProvider","3","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\plant_intelligence\presentation\providers\plant_evolution_providers.dart","43","FutureProvider","False"
"unifiedGardenContextProvider","3","","","","False"
"gardenActivePlantsProvider","2","","","","False"
"gardenDetailProvider","2","","","","False"
"generateIntelligenceReportProvider","2","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\plant_intelligence\presentation\providers\plant_intelligence_providers.dart","185","FutureProvider","True"
"gardenBedCountProvider","2","","","","False"
"gardenBedDetailProvider","2","","","","False"
"plantingByIdProvider","2","","","","False"
"gardenActivitiesProvider","2","","","","False"
"gardenStatsProvider","2","C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","109","FutureProvider","True"
"currentGlowColorProvider","2","","","","False"
"plantingsByGardenBedProvider","1","","","","False"
"_sharedPreferencesProvider","1","","","","False"
"weatherByCommuneProvider","1","","","","False"
"currentThermalColorSchemeProvider","1","","","","False"
"currentOverlayColorProvider","1","","","","False"
"currentThermalIntensityProvider","1","","","","False"
"gardenHistoricalPlantsProvider","1","","","","False"
"currentPaletteNameProvider","1","","","","False"
"invalidateGardenCacheProvider","1","","","","False"
"generateComprehensiveGardenAnalysisProvider","1","","","","False"
