File Path,Category,Type,Line Count,Key Components,Notes
lib/core/services/open_meteo_service.dart,Core Service,Service,420,OpenMeteoService singleton; fetchPrecipitation(); resolveCoordinates(); searchPlaces(),Main API integration; 30min cache; 3-retry mechanism
lib/core/services/weather_impact_analyzer.dart,Core Service,Service,850+,WeatherImpactAnalyzer; analyzeImpact(); _detectWeatherAlertsProactive(),Plant-aware weather impact analysis
lib/core/services/weather_alert_service.dart,Core Service,Service,196,WeatherAlertService; generateAlerts(); Smart watering alerts,Frost/Heatwave/Drought thresholds
lib/core/models/daily_weather_point.dart,Model,Data Model,129,DailyWeatherPoint; fromRaw(); fromEnriched(),Unified model for raw and enriched data
lib/features/climate/domain/models/weather_view_data.dart,Model,Data Model,Unknown,WeatherViewData,UI-ready weather data model
lib/features/plant_intelligence/domain/entities/weather_condition.dart,Model,Domain Entity,184,WeatherCondition (Freezed); WeatherType enum; WeatherImpact,Freezed entity with JSON serialization
lib/core/services/models/composite_weather_data.dart,Model,Helper Model,Unknown,CompositeWeatherData,Composite weather data helper
lib/features/plant_intelligence/domain/repositories/i_weather_repository.dart,Repository,Interface,45,IWeatherRepository; saveWeatherCondition(); getCurrentWeatherCondition(); getWeatherHistory(),Domain interface for weather operations
lib/features/plant_intelligence/data/datasources/weather_datasource.dart,Repository,Data Source,150+,WeatherDataSource; WeatherDataSourceImpl; getCurrentWeather(); getWeatherHistory(),Converts API data to WeatherCondition
lib/features/plant_intelligence/data/repositories/plant_intelligence_repository_impl.dart,Repository,Implementation,315+,PlantIntelligenceRepositoryImpl; Implements IWeatherRepository; Caching logic,30min cache validity; Integrates with GardenAggregationHub
lib/features/climate/presentation/providers/weather_providers.dart,Provider,Riverpod Provider,566,currentWeatherProvider; forecastProvider; weatherAlertsProvider; selectedCommuneCoordinatesProvider,Main weather providers
lib/features/climate/presentation/providers/hourly_weather_provider.dart,Provider,Riverpod Provider,125+,Hourly weather provider,Hourly weather data
lib/features/climate/presentation/providers/weather_alert_provider.dart,Provider,Riverpod Provider,59,Weather alert provider,Alert management
lib/shared/presentation/widgets/weather_bubble_widget.dart,UI,Widget,110+,WeatherBubbleWidget (ConsumerWidget),Displays current weather bubble
lib/features/climate/presentation/screens/weather_detail_screen.dart,UI,Screen,Unknown,WeatherDetailScreen,Detailed weather view
lib/features/climate/presentation/screens/climate_forecast_history_screen.dart,UI,Screen,Unknown,ClimateForecastHistoryScreen,Forecast and history visualization
lib/shared/presentation/widgets/settings/weather_settings_section.dart,UI,Widget,Unknown,WeatherSettingsSection,Weather settings UI
lib/features/climate/presentation/anim/weather_halo_controller.dart,UI,Animation,Unknown,WeatherHaloController,Weather animation controller
lib/core/utils/weather_icon_mapper.dart,Utility,Mapper,132,WeatherIconMapper; getIconPath(); getWeatherDescription(),Maps WMO codes to icons
lib/features/plant_intelligence/domain/entities/weather_condition.g.dart,Generated,Code Gen,Unknown,JSON serialization code,Generated by json_serializable
lib/features/plant_intelligence/domain/entities/weather_condition.freezed.dart,Generated,Code Gen,Unknown,Freezed code,Generated by freezed
lib/features/plant_intelligence/domain/entities/weather_condition_hive.g.dart,Generated,Code Gen,Unknown,Hive adapter code,Generated by hive_generator
test/features/climate/presentation/weather_providers_commune_sync_test.dart,Test,Unit Test,Unknown,Provider sync tests,Test file for weather providers
assets/weather/,Assets,Directory,Unknown,Weather assets,Asset directory
assets/weather_icons/,Assets,Directory,Unknown,Weather icons,Icon pack directory
pubspec.yaml,Configuration,Config,110,geolocator dependency; weather assets; weather_icons assets,No dedicated weather package (removed G8)
